index,ChEMBL ID,Name,canonical_smiles
46,CHEMBL2106663,AMANTANIUM BROMIDE,CCCCCCCCCC[N+](C)(C)CCOC(=O)C12CC3CC(CC(C3)C1)C2.[Br-]
47,CHEMBL2110921,AMANTANIUM,CCCCCCCCCC[N+](C)(C)CCOC(=O)C12CC3CC(CC(C3)C1)C2
48,CHEMBL4297248,MAVILIMOGENE RALAPLASMID,
49,CHEMBL444436,CUPRIC CHLORIDE,
50,CHEMBL4297350,ASP-4058,C[C@H](Oc1ccc(-c2nc(-c3ccc4[nH]cnc4c3)no2)cc1C(F)(F)F)C(F)(F)F
51,CHEMBL471721,SUFOSFAMIDE,CS(=O)(=O)OCCNP1(=O)OCCCN1CCCl
52,CHEMBL136298,ACEPERONE,CC(=O)NCC1(c2ccccc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
53,CHEMBL2106037,TETRONASIN 5930,CO[C@@H](C)[C@H]1C[C@H](C)[C@H]([C@@H](C)/C=C/[C@@H]2CC[C@@H](C)[C@H](/C(=C/[C@H]3CCC[C@@H](C)[C@@H]3[C@H](C)C(=O)C3=C(O)COC3=O)CO)O2)O1
54,CHEMBL2111166,TRAZIUM,OC1(c2ccc(Cl)cc2)NC=N[n+]2ccc3ccccc3c21
55,CHEMBL2106031,SOLASULFONE,O=S(=O)(c1ccc(NC(CC(c2ccccc2)S(=O)(=O)[O-])S(=O)(=O)[O-])cc1)c1ccc(NC(CC(c2ccccc2)S(=O)(=O)[O-])S(=O)(=O)[O-])cc1.[Na+].[Na+].[Na+].[Na+]
56,CHEMBL17125,PELRINONE,Cc1nc(=O)c(C#N)c(NCc2cccnc2)[nH]1
57,CHEMBL551786,RECAINAM,Cc1cccc(C)c1NC(=O)NCCCNC(C)C
58,CHEMBL2104890,TAPROSTENE,O=C(O)c1cccc(/C=C2/C[C@@H]3[C@@H](/C=C/[C@@H](O)C4CCCCC4)[C@H](O)C[C@@H]3O2)c1
59,CHEMBL4537239,LHF-535,CC(C)Oc1ccc(-n2cnc3cc(/C=C\c4ccc(C(C)(C)O)cc4)ccc32)cc1
60,CHEMBL1453416,ISBUFYLLINE,CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C
61,CHEMBL2110565,TECHNETIUM OXIDRONATE,
62,CHEMBL2104926,CINOLAZEPAM,N#CCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21
63,CHEMBL2111147,ZATOSETRON,CN1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1cc(Cl)cc3c1OC(C)(C)C3)C2
64,CHEMBL162243,BETAMETHADOL,CC[C@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1
65,CHEMBL38458,LEDOXANTRONE,CCN(CC)CCn1nc2c3c(c(NCCN)ccc31)Sc1cc(O)ccc1-2
66,CHEMBL359839,SULFABENZ,Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1
67,CHEMBL172498,DOQUALAST,O=C(O)c1ccc2nc3ccccn3c(=O)c2c1
68,CHEMBL2105391,PROTIOFATE,CCCOC(=O)c1sc(C(=O)OCCC)c(O)c1O
69,CHEMBL127123,PHENACAINE,CCOc1ccc(/N=C(\C)Nc2ccc(OCC)cc2)cc1
70,CHEMBL3306031,TIPRINAST,Cc1c(CC(C)C)sc2nc(C(=O)O)nc(O)c12
71,CHEMBL1896433,CARPRONIUM,COC(=O)CCC[N+](C)(C)C
72,CHEMBL1482516,BATILOL,CCCCCCCCCCCCCCCCCCOCC(O)CO
73,CHEMBL2110808,BUZEPIDE,C[N+]1(CCC(C(N)=O)(c2ccccc2)c2ccccc2)CCCCCC1
74,CHEMBL115794,MANIFAXINE,C[C@@H]1CO[C@@](O)(c2cc(F)cc(F)c2)[C@H](C)N1
75,CHEMBL3990238,STERCURONIUM,CC[N+](C)(C)[C@@H]1C=C2C=C[C@H]3[C@@H]4CC[C@@H]5[C@H](C)N(C)C[C@@]54CC[C@@H]3[C@@]2(C)CC1
76,CHEMBL5314464,GALLIUM (68GA) ROFAPITIDE TETRAXETAN,
77,CHEMBL2110689,NOLINIUM,Clc1ccc(Nc2cc[n+]3ccccc3c2)cc1Cl
78,CHEMBL28930,ILMOFOSINE,CCCCCCCCCCCCCCCCSCC(COC)COP(=O)([O-])OCC[N+](C)(C)C
79,CHEMBL61495,CRISNATOL,CC(CO)(CO)NCc1cc2c3ccccc3ccc2c2ccccc12
80,CHEMBL465123,SEPROXETINE,NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1
81,CHEMBL4597194,TECHNETIUM BICISATE,
82,CHEMBL2108691,SOMIDOBOVE,
83,CHEMBL2108748,PARTRICIN,
84,CHEMBL2106963,PIPERAZINE EDETATE CALCIUM,C1CNCCN1.O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)O.[Ca+2]
85,CHEMBL2104290,EFLETIRIZINE,O=C(O)COCCN1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1
86,CHEMBL1201502,FERUMOXIDES,
87,CHEMBL2105544,AMPHECLORAL,CC(Cc1ccccc1)/N=C/C(Cl)(Cl)Cl
88,CHEMBL454450,BUTIBUFEN,CCC(C(=O)O)c1ccc(CC(C)C)cc1
89,CHEMBL2106443,EFROTOMYCIN,C/C=C/C=C/[C@@H]1O[C@](O)([C@H](CC)C(=O)NC/C=C/C=C(\C)[C@@H](OC)[C@@H](C)[C@@H]2O[C@H](/C=C/C=C/C=C(\C)C(=O)c3c(O)ccn(C)c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@H]3OC)[C@@H](OC)[C@H]2O)C1(C)C
90,CHEMBL2105344,TEMODOX,Cc1c(C(=O)OCCO)[n+]([O-])c2ccccc2[n+]1[O-]
91,CHEMBL2105403,PENTISOMICIN,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O
92,CHEMBL1185241,RHODAMINE 6G,CC/N=c1\cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C
93,CHEMBL278581,ALINIDINE,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl
94,CHEMBL1909055,COBALTOUS CHLORIDE,
95,CHEMBL2110797,BENZINDOPYRINE,c1ccc(Cn2cc(CCc3ccncc3)c3ccccc32)cc1
96,CHEMBL2106586,CYCOTIAMINE,C/C(=C1\CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N
